symbol,conf,only_side,test_volume_usd,average_pnl_pct,average_position_duration_s,positions_per_year,cost_per_year_pct,cost_per_year_usd,avg_chases_per_position,avg_turnover_per_usd,avg_turnover_per_year
ETHUSDC,Fixed volumes with 1 unit thresholds (v2),0,20000,-0.7034169028609504,216493.60887522297,145.66711767540403,-102.46471276391432,-20492.942552782864,153.25932296995103,22324.84383391661,446496876.6783322
ETHUSDC,Fixed volumes with 1 unit thresholds (v2),0,30000,-0.9092077083993274,216936.62920039866,145.36964143048485,-132.17119855584303,-39651.35956675291,145.33818972546888,21127.760526547187,633832815.7964156
ETHUSDC,Fixed volumes with 1 unit thresholds (v2),0,40000,-1.0086535023847012,216102.34455442877,145.93085542418612,-147.19366842960076,-58877.46737184031,138.53798510245474,20216.966674744373,808678666.989775
ETHUSDC,Fixed volumes with 1 unit thresholds (v2),0,50000,-1.0939619727260428,217449.4608632714,145.0268024340116,-158.6538068888614,-79326.9034444307,132.7552741454462,19253.072915564677,962653645.7782339
ETHUSDC,Fixed volumes with 1 unit thresholds (v2),0,60000,-1.2658649968219988,218310.757836497,144.45463115298588,-182.8600612053975,-109716.0367232385,130.08924172916153,18791.99343095765,1127519605.857459
ETHUSDC,Fixed volumes with 1 unit thresholds (v2),0,70000,-1.2540336783912531,215585.59609870872,146.2806447679409,-183.44085503578515,-128408.59852504962,124.32308811494043,18186.06148899502,1273024304.2296515
ETHUSDC,Fixed volumes with 1 unit thresholds (v2),0,80000,-1.3625309582079643,216355.87003068806,145.75985387189593,-198.60231336432724,-158881.8506914618,121.62115152669332,17727.481274262533,1418198501.9410026
ETHUSDC,Fixed volumes with 1 unit thresholds (v2),0,90000,-1.4148580001664146,218869.2253384164,144.08604019701227,-203.8612866850424,-183475.15801653813,118.85512258439307,17125.36397031568,1541282757.3284113
SOLUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,10000,-0.9425225481936387,138219.1489402287,228.15941381347517,-215.04539210184348,-21504.539210184346,98.46657183499289,22466.07531009442,224660753.1009442
SOLUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,20000,-1.2875379596933518,139382.3526534051,226.255328595428,-291.3123241495063,-58262.46482990126,86.34240514330088,19535.429247417112,390708584.94834226
SOLUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,30000,-1.5332370365299528,139143.26863831232,226.64409359229856,-347.49911840647314,-104249.73552194196,78.50798626525453,17793.371386845236,533801141.60535705
SOLUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,40000,-1.6506886214068037,138434.70522777154,227.80414743624223,-376.03371408228287,-150413.48563291316,72.84335418823423,16594.01819724692,663760727.8898768
SOLUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,-1.7514792048603511,138971.43366778744,226.92433378349622,-397.45325169858285,-198726.62584929142,68.06290627717854,15445.129662317284,772256483.1158642
SOLUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,60000,-1.8839670241235273,138338.1334392024,227.9631741153976,-429.4751027479391,-257685.06164876345,64.89467885268405,14793.596974457225,887615818.4674335
SOLUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,70000,-1.9574986559211083,138690.07906126665,227.38468543282684,-445.1052161118025,-311573.6512782618,61.886240950369206,14071.983431119828,985038840.178388
SOLUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,80000,-2.064435616467944,139858.2907823413,225.48538112108673,-465.5000517792199,-372400.0414233759,59.60511946011647,13440.083078232266,1075206646.2585814
